""	"GATA2_lev"	"PGR_lev"	"SOX17_lev"	"GATA2_act_FC12_P01"	"GATA2_act_FC13_P01"	"GATA2_act_FC15_P01"	"GATA2_act_FC15_P005"	"GATA2_act_FC15_P001"	"PRG_act_FC12_P05"	"PRG_act_FC13_P05"	"PRG_act_FC12_P01"	"PRG_act_FC13_P01"	"P4_act_FC12_P01"	"P4_act_FC13_P01"	"P4_act_FC15_P01"	"P4_act_FC15_P005"	"P4_act_FC15_P001"
"GSM1402321"	-0.011	-0.451	-0.137	-3.497	-3.153	-2.22	-2.951	-2.543	-0.058	0.051	0.165	0.002	-0.54	-0.088	-0.776	-0.869	-0.443
"GSM1402322"	0.203	0.486	0.568	2.393	2.228	2.562	2.056	0.733	2.353	1.909	1.429	1.209	1.603	1.459	1.257	1.439	0.251
"GSM1402323"	0.166	0.403	0.438	5.845	5.65	5.844	4.434	2.203	2.857	2.026	1.007	0.55	6.645	5.986	5.156	4.584	2.753
"GSM1402324"	0.724	0.453	0.298	3.283	3.205	4.065	3.268	1.932	2.93	2.017	1.506	0.985	6.08	5.504	4.757	4.479	4.038
"GSM1402325"	0.157	0.277	0.87	5.06	4.896	5.324	3.643	1.446	3.832	3.473	2.51	2.051	5.903	5.413	4.288	4.141	1.979
"GSM1402326"	-0.306	0.054	-1.238	2.895	2.036	0.559	1.778	1.555	-3.016	-2.754	-2.467	-1.982	1.884	1.605	1.21	1.268	1.571
"GSM1402327"	0.068	0.122	-0.253	6.189	5.19	3.794	4.679	3.508	1.094	1.154	-0.131	0.373	5.011	4.174	4.683	4.525	3.298
"GSM1402328"	-0.121	-0.301	-0.304	-14.081	-12.956	-10.108	-9.483	-5.51	-1.136	-0.87	-0.33	-0.169	-14.258	-13.108	-10.905	-9.488	-5.82
"GSM1402329"	-0.158	-0.068	-0.406	-2.147	-2.862	-3.197	-2.039	-0.358	-2.953	-2.461	-2.214	-1.379	-6.957	-6.414	-5.076	-4.499	-2.965
"GSM1402330"	-0.374	-0.619	-1.151	-0.373	-0.342	-1.317	-1.286	-1.413	-1.755	-1.588	-0.737	-0.641	-0.087	0.217	-0.16	-0.278	-1
