Gene-mouse	Signature
Ttr	High
Spink8	High
Slc25a48	High
Naip5	High
Cxcl15	High
Clic6	High
Fst	High
Mthfd2	High
Tmem200c	High
Npl	High
Slc2a3	High
Pga5	High
Hsd11b2	High
Tnfrsf21	High
Ggct	High
Cldn23	High
Ckmt1	High
Bcat1	High
Cldn2	High
Slc25a33	High
Ctla2a	High
Ptk2b	High
Guca2a	High
Tnni2	High
Ihh	High
Amigo2	High
Sptlc3	High
Acot7	High
Adamts9	High
Dctd	High
Scube2	High
Ccrn4l	High
Artn	High
Taf1d	High
Chdh	High
Mt2	High
Enpp3	High
F2r	High
Car5b	High
Fam189a2	High
Tmem158	High
Fam65b	High
Tubb2a	High
Rrp12	High
Col12a1	High
Tcf23	High
Fut4	High
Ivns1abp	High
Paqr3	High
Jam2	High
Mt1	High
Nxpe3	High
Ap1s3	High
Ctla2b	High
Jazf1	High
Pip5k1b	High
Rnf128	High
Ptger4	High
Anpep	High
Sgk1	High
Zfpm1	High
Grip1	High
Itpr2	High
Tmc7	High
Tiparp	High
Wnt5a	High
Slc23a1	High
Fam107a	High
Slco3a1	High
Nme1	High
Rasd1	High
Ank	High
Gas5	High
Cyp51	High
Pex11a	High
Tcf15	High
Hoxa10	High
Styk1	High
Xpnpep1	High
Acsl4	High
Ndp	High
Guca2b	High
Rpl3	High
Ap2a2	High
Nfil3	High
Rasgrp1	High
Sh3rf1	High
Rps9	High
Mfsd2a	High
Shmt1	High
Hoxa11	High
Ptprg	High
Magi1	High
Tnc	High
Rgs2	High
Gdnf	High
Ctps	High
B4galt6	High
Ctsd	High
Gnpnat1	High
Nhp2	High
Rundc3b	High
Lrrn1	High
Slc7a1	High
Trib1	High
Ptplb	High
Fuk	High
Mettl1	High
Hnrnpll	High
Phgdh	High
Ddx39	High
Vimp	High
Eef1e1	High
Osr2	High
Lama1	High
Sfrp2	High
Heatr1	High
Gale	High
Ccdc86	High
Abhd12	High
Gcnt3	High
Nudt19	High
Tmem64	High
Nop56	High
Gmps	High
Ltv1	High
Mlec	High
Sesn2	High
Olah	High
Elovl5	High
Tmem9b	High
Egfr	High
Nudt5	High
Ccdc141	High
Slc33a1	High
Ostc	High
G6pdx	High
Ipo4	High
Eif4g1	High
Them4	High
Cct4	High
Col3a1	High
Odc1	High
Dnajc3	High
Scd2	High
9630033F20Rik	High
E130308A19Rik	High
Dnajc10	High
Wdr12	High
Ndufaf4	High
Srsf2	High
Ptgr1	High
Pkib	High
Rnf157	High
Dkc1	High
Chka	High
Sco2	High
Tmem248	High
Cystm1	High
Rpl12	High
Syt7	High
Slc35b1	High
Frk	High
Cnn3	High
Mak16	High
Fzd1	High
Maob	High
Nol8	High
Cldn8	High
Aldh18a1	High
Hspa4	High
Nmd3	High
Stard5	High
Tspan5	High
Rcn1	High
Atp10a	High
Atf4	High
Pgp	High
Wdr43	High
Thyn1	High
Srsf10	High
Gusb	High
Uqcrq	High
Spata5	High
Mfap4	High
Suco	High
Aqp1	High
Rps20	High
Fbl	High
Rbm34	High
1110038B12Rik	High
Kalrn	High
Nrp1	High
Immt	High
Gtpbp4	High
Fads2	High
Kti12	High
Cdh10	High
Rgmb	High
Cd3eap	High
Parm1	High
Pik3c2a	High
Ppp3r1	High
Trpm6	High
Vkorc1l1	High
Wdr75	High
Greb1	High
Map4	High
Gnb2l1	High
Hspa13	High
Tfdp1	High
Cdk14	High
Mrpl57	High
D10Wsu102e	High
Mboat1	High
Rabep1	High
Tsfm	High
Tars	High
Col8a2	High
AF529169	High
Net1	High
Sod2	High
Dusp6	High
Pfkfb3	High
Bfar	High
3110082I17Rik	High
Hand2	High
Srprb	High
Gclc	High
Amd1	High
Sec13	High
Leprot	High
Nars	High
Ergic2	High
Arf4	High
Alcam	High
Slc30a2	High
Gnai1	High
Cd274	High
Magohb	High
Eif4a1	High
Mbtps2	High
Sdad1	High
Chuk	High
Usp6nl	High
Cpsf6	High
Chrd	High
Cbl	High
Ankrd13c	High
Rala	High
Vstm2a	High
Nlk	High
Nampt	High
Srsf1	High
P2ry14	High
Mrpl39	High
Epha8	High
Hspa8	High
Pdgfra	High
Chn2	High
Aff3	High
Srfbp1	High
Pdss1	High
Azin1	High
Yeats4	High
Becn1	High
Zfp202	High
Mrps18b	High
Pak1ip1	High
Psmc4	High
Frs2	High
Rdh13	High
Ahcyl1	High
Ssr1	High
Naa50	High
Heatr5a	High
Aebp2	High
Serbp1	High
Adipor2	High
Pgr	High
Ern1	High
Polr3d	High
Ube2w	High
Ticam1	High
Tnpo1	High
Rtca	High
Atp6v1h	High
Tmed9	High
Taf13	High
Lhfp	High
Arhgap18	High
Nav1	High
4833439L19Rik	High
Cox6c	High
Tmem199	High
Abhd2	High
Aff1	High
Fbxo4	High
Leprotl1	High
Eif3a	High
Tmed10	High
Crip1	High
Srsf7	High
Hoxa9	High
Pvr	High
Mcts2	High
Eaf2	High
BC003965	High
Mrpl52	High
Fkrp	High
Cs	High
Riok2	High
D15Ertd621e	High
2410002F23Rik	High
Rpl7l1	High
Morf4l2	High
Sft2d1	High
Magoh	High
Slc22a5	High
Nup50	High
Nat10	High
Lmo4	High
Stt3a	High
Snx5	High
Clcn3	High
Tmem33	High
2210016F16Rik	High
Lsm6	High
Cdk12	High
Hps3	High
Orc2	High
Fastkd2	High
Ufl1	High
Ccnh	High
Ddx54	High
Mrpl53	High
Cdk7	High
	
Otud5	Low
Tmem194	Low
Nub1	Low
Bsdc1	Low
Akap13	Low
Nfix	Low
Ralgapa2	Low
Hk1	Low
March2	Low
Sdf4	Low
Npr3	Low
Tgfbr3	Low
Nr2c1	Low
Tecpr1	Low
Golph3l	Low
Ttc33	Low
Dhrs7	Low
Ankrd12	Low
Timp2	Low
Wasf2	Low
Bach1	Low
Cald1	Low
Mnt	Low
Foxo3	Low
Stx4a	Low
Papss1	Low
Nfia	Low
Rnf19a	Low
Ppfibp1	Low
Zfp369	Low
Vezf1	Low
Hspa4l	Low
Spsb1	Low
Nedd4	Low
Plekhg1	Low
Tiam2	Low
Hoxa7	Low
Phf7	Low
Aptx	Low
Tbc1d15	Low
Fam21	Low
Snapin	Low
Aplp2	Low
Frg1	Low
Gtpbp2	Low
Smtnl2	Low
Rhobtb1	Low
Lnpep	Low
9030624J02Rik	Low
Nckap5	Low
Gsdmd	Low
Ppm1d	Low
Pfdn5	Low
Ap5s1	Low
Mapk3	Low
Reck	Low
Arsb	Low
Galt	Low
Siah1a	Low
Zbtb44	Low
Mfge8	Low
Uggt2	Low
Nr3c2	Low
Vmac	Low
Gm2a	Low
Nek7	Low
Fmnl2	Low
Wdtc1	Low
Anapc16	Low
Arid5b	Low
Msrb3	Low
Kxd1	Low
Abl1	Low
2900005J15Rik	Low
Nagk	Low
Cdh6	Low
Tpk1	Low
Mical3	Low
Gpnmb	Low
Osbpl9	Low
Arhgap12	Low
Mamdc2	Low
Bcl6	Low
Lrig3	Low
Vamp4	Low
Snai2	Low
Cep162	Low
Ldb1	Low
Plekha4	Low
Zfyve1	Low
Ap4m1	Low
Dcaf8	Low
Mfn1	Low
Mcoln1	Low
Kitl	Low
Steap3	Low
Ccdc61	Low
Ube2b	Low
Idua	Low
Zfp764	Low
Srgap2	Low
Notch2	Low
Parva	Low
Foxo1	Low
Oxct1	Low
Rad51d	Low
Pcmtd1	Low
Phldb1	Low
Tbc1d1	Low
Rmnd5a	Low
Slc45a4	Low
Ophn1	Low
Slc17a5	Low
Gpsm1	Low
Zfp867	Low
Ift46	Low
Arsa	Low
Rdh11	Low
Gltscr2	Low
Prnp	Low
Zfyve26	Low
Mtmr14	Low
Irf2bpl	Low
Ank3	Low
Pcdh19	Low
Nicn1	Low
Use1	Low
Osbpl5	Low
Aph1c	Low
Omd	Low
Acad12	Low
Rgs3	Low
Mpdz	Low
Phactr1	Low
Cc2d2a	Low
Fhl2	Low
Derl3	Low
Pmm1	Low
Ppm1l	Low
Slc16a4	Low
Igsf8	Low
Elmod3	Low
Plagl1	Low
B9d2	Low
Stk32b	Low
Prkar1b	Low
Itpr1	Low
Pbld2	Low
Extl3	Low
Pef1	Low
Ctc1	Low
Chd2	Low
Gab2	Low
Thra	Low
Hsd17b11	Low
2310015B20Rik	Low
Por	Low
Sema3f	Low
Meis2	Low
Nsmce1	Low
Fam188b	Low
Jup	Low
Plcg1	Low
Tmco6	Low
Ndrg1	Low
Lhfpl2	Low
Scn3a	Low
Chpt1	Low
Maf	Low
Abcc4	Low
Pgm5	Low
Atf7ip	Low
Gemin8	Low
Fam213b	Low
Tldc1	Low
Klf7	Low
Bdh2	Low
Il6ra	Low
1700048O20Rik	Low
Ypel2	Low
Col4a3	Low
Jag1	Low
Foxp1	Low
Slit3	Low
9230114K14Rik	Low
Aaed1	Low
Msrb2	Low
Akap7	Low
Jun	Low
Bnip3l	Low
Bnc2	Low
Slc27a1	Low
Ctdsp2	Low
1700026D08Rik	Low
Igf1r	Low
Trp53inp1	Low
Tmem159	Low
Zfp184	Low
Mgst1	Low
Wipi1	Low
Cdkn1b	Low
Twsg1	Low
Trdn	Low
Inpp5k	Low
Asap1	Low
Ccng2	Low
Letm2	Low
Hscb	Low
HIST1H4J	Low
Cdk19	Low
Hip1	Low
Slc48a1	Low
Zfp521	Low
Athl1	Low
Mfap3l	Low
Tprgl	Low
Crebrf	Low
Sesn3	Low
3110057O12Rik	Low
Trip10	Low
Xpc	Low
Prrx1	Low
Rusc2	Low
Ddo	Low
Kank2	Low
Csgalnact1	Low
Tnfrsf19	Low
Cadm1	Low
Ypel5	Low
Nrp2	Low
Nrep	Low
Akap8l	Low
Fat4	Low
Wdsub1	Low
Aldh1a3	Low
Rgma	Low
Traf5	Low
Fancc	Low
Wdr81	Low
Nat9	Low
Id2	Low
Nfib	Low
Arhgap26	Low
Pea15a	Low
Pot1a	Low
Atxn7l1	Low
Cnppd1	Low
Sh3d19	Low
1810011O10Rik	Low
Dst	Low
Arrb1	Low
Ttc30b	Low
Rcan2	Low
Bcl2	Low
Tctn1	Low
Parp16	Low
Rarres2	Low
Ankzf1	Low
Ppp1r14a	Low
Cirbp	Low
Sfxn4	Low
Cyp4v3	Low
Meis1	Low
Leprel1	Low
Zfp395	Low
Trpc4	Low
Bckdha	Low
Atxn1	Low
Zfp385b	Low
Fam83e	Low
Rasa3	Low
Nov	Low
Optc	Low
Mrvi1	Low
Dnajc12	Low
Mettl18	Low
Ppp1r12b	Low
Fnbp1	Low
Acbd4	Low
Zak	Low
Bcl2l11	Low
Samd4	Low
Fhl1	Low
Pink1	Low
Map1lc3b	Low
Dpysl3	Low
Cys1	Low
Nadk2	Low
Gm10638	Low
Htra3	Low
Ip6k1	Low
Hmgcs2	Low
Plscr4	Low
Hist3h2a	Low
Ctsf	Low
Plekhb1	Low
E330013P04Rik	Low
Mitf	Low
Rora	Low
Cdkn2c	Low
Nceh1	Low
Stom	Low
Runx1	Low
Pim1	Low
Pgm2l1	Low
Kiz	Low
0610009L18Rik	Low
Slco2b1	Low
Scn7a	Low
Slc12a6	Low
Foxo4	Low
Ankrd6	Low
Setd7	Low
Klf10	Low
Napepld	Low
Slc6a6	Low
Zfp949	Low
Gstt2	Low
Hist1h1c	Low
Abca9	Low
Ndrg2	Low
Ptn	Low
Hist3h2ba	Low
Ezh1	Low
Nrg2	Low
Metrnl	Low
Vsig10	Low
Foxp2	Low
Zhx3	Low
Hspa2	Low
Sord	Low
Nr1d1	Low
Lrrc17	Low
Dhrs3	Low
P2rx7	Low
Sema3a	Low
Pi16	Low
Itgb4	Low
Sash1	Low
Anxa9	Low
A330023F24Rik	Low
Npr1	Low
Rftn2	Low
Lpin1	Low
Wdr45	Low
Appl2	Low
Fxyd6	Low
Klhl24	Low
Smim6	Low
Cyp2j9	Low
Hbp1	Low
Ddit4l	Low
Thsd4	Low
Mettl7a1	Low
Prelp	Low
Ncam1	Low
Gmpr	Low
Ecm2	Low
Lifr	Low
Tpcn1	Low
Syndig1	Low
4930523C07Rik	Low
Fam13a	Low
Il4ra	Low
Gadd45a	Low
Zfp874b	Low
Tgif1	Low
Mxi1	Low
Haus4	Low
Rai2	Low
Txnip	Low
Deptor	Low
Ypel3	Low
Hcar1	Low
Adrb2	Low
Tcp11l2	Low
Rtn2	Low
H19	Low
Abca8a	Low
Slc43a1	Low
Arrdc3	Low
2610035D17Rik	Low
Bmf	Low
Trim45	Low
Tmprss13	Low
Me3	Low
Cdh16	Low
Fgf18	Low
Oxtr	Low
Irs2	Low
Gabarapl1	Low
Slc14a1	Low
Ovgp1	Low
Fbxo32	Low
Fam214a	Low
Adck3	Low
Myoc	Low
Ces1f	Low
Galnt15	Low
Pik3ip1	Low
Pdk4	Low
Cyp2f2	Low
