Gene-mouse	Signature
Lrp2	High
Acta1	High
Ttr	High
Slc6a14	High
Spink8	High
Slc25a48	High
Naip5	High
Cxcl15	High
Clic6	High
Fst	High
Mthfd2	High
Tmem200c	High
Npl	High
Aldh1a1	High
Slc2a3	High
Pga5	High
Hsd11b2	High
Tnfrsf21	High
Ggct	High
Cldn23	High
Ckmt1	High
Bcat1	High
Cldn2	High
Plscr1	High
Slc25a33	High
Pdzk1ip1	High
Rnf180	High
Ctla2a	High
Ptk2b	High
Guca2a	High
Tnni2	High
Ihh	High
Dhcr24	High
Amigo2	High
Sptlc3	High
Coro2a	High
Acot7	High
Sbspon	High
Atp1b1	High
Adamts9	High
Dctd	High
Il17rb	High
Scube2	High
Ccrn4l	High
Slc5a11	High
Nr4a3	High
Tmem108	High
Insl6	High
Artn	High
Clcn5	High
Taf1d	High
Chdh	High
Mt2	High
Enpp3	High
F2r	High
Car5b	High
Fndc5	High
Fam189a2	High
Diras2	High
Kbtbd8	High
Tmem158	High
Fam65b	High
D630045J12Rik	High
Tubb2a	High
Rrp12	High
Col12a1	High
Bdh1	High
Tcf23	High
Fut4	High
Ivns1abp	High
Paqr3	High
Crispld1	High
Jam2	High
Mt1	High
Nxpe3	High
Ap1s3	High
Ctla2b	High
Jazf1	High
Pip5k1b	High
Slc35f3	High
Rnf128	High
Ptger4	High
Anpep	High
Sgk1	High
Zfpm1	High
Grip1	High
Itpr2	High
Tmc7	High
Tiparp	High
Cpxm2	High
Wnt5a	High
Slc23a1	High
Fam107a	High
Slco3a1	High
Nme1	High
Rasd1	High
Ank	High
Gas5	High
Cyp51	High
Nrip3	High
Pex11a	High
Tcf15	High
Hoxa10	High
Styk1	High
Spon1	High
Xpnpep1	High
Cldn4	High
Acsl4	High
Tes	High
Slc25a5	High
Ndp	High
Guca2b	High
Asb4	High
Pik3cg	High
Slc16a6	High
Creb3l1	High
Rpl3	High
Ap2a2	High
Nfil3	High
Rasgrp1	High
Sh3rf1	High
Kcnd3	High
Gpr83	High
Rps9	High
Mfsd2a	High
Shmt1	High
Ikzf1	High
Hoxa11	High
Ptprg	High
Magi1	High
Ddx21	High
Tnc	High
Rmdn2	High
Rgs2	High
Gdnf	High
Ctps	High
Cldn3	High
B4galt6	High
Ctsd	High
