Variable,p-value,T-score
GSM1402321,0.010516689,-2.5673105
GSM1402322,0.094193096,1.676627217
GSM1402323,0.001499051,3.191198847
GSM1402324,0.001669822,3.159305631
GSM1402325,0.010385462,2.571715336
GSM1402326,0.394298149,0.852528378
GSM1402327,0.085485753,1.722857447
GSM1402328,1.44E-16,-8.532726009
GSM1402329,0.003450122,-2.937460706
GSM1402330,0.46228735,-0.735609204
GSM1402331,0.022280155,-2.292149134
GSM1402332,0.226175005,-1.21165086
GSM1402333,0.21901941,-1.230567561
GSM1402334,1.54E-05,4.362958737
GSM1402335,0.165423539,-1.388936505
GSM1402336,0.280318158,1.080686371
GSM1402337,8.05E-07,4.992518427
GSM1402338,0.005299894,-2.799565411
GSM1402339,0.480234173,-0.706415058
GSM1402340,0.76395205,0.300446457
GSM1402341,0.019767111,-2.33768701
GSM1402342,2.18E-06,4.787478453
GSM1402343,0.348428791,-0.938456205
GSM1402344,0.937116581,0.078931139
GSM1402345,0.288669645,1.062087929
GSM1402346,0.486041228,-0.69709748
GSM1402347,0.74127296,-0.330337347
GSM1402348,0.036290521,-2.098878321
GSM1402349,0.311864059,-1.012264606
GSM1402350,0.319164034,-0.997095257
GSM1402351,0.017430181,-2.3848359
GSM1402352,0.028618379,-2.19457545
GSM1402353,0.008852649,-2.627223733
GSM1402354,0.310138319,-1.015884862
GSM1402355,0.009534482,2.601549113
GSM1402356,0.33750182,-0.959964678
GSM1402357,0.012809505,-2.497324
GSM1402358,0.195439062,-1.296258675
GSM1402359,3.23E-07,5.17451379
GSM1402360,0.762862658,-0.301875925
GSM1402361,0.02492246,2.248867538
GSM1402362,0.7760891,-0.284561369
GSM1402363,0.860962699,0.175232262
GSM1402364,0.043576166,-2.022886833
GSM1402365,0.541094556,0.611546769
GSM1402366,0.193708525,1.301303411
GSM1402367,0.001419887,3.207138963
GSM1402368,0.005744159,2.773093706
GSM1402369,0.013801349,-2.470454902
GSM1402370,0.388705429,0.862662262
GSM1402371,0.11065749,1.597862329
GSM1402372,0.068210348,-1.827267092
GSM1402373,0.083011034,-1.736690477
GSM1402374,0.002243803,-3.07057166
GSM1402375,0.000244625,-3.692465976
GSM1402376,1.27E-06,-4.900238974
GSM1402377,0.713270581,-0.367659971
GSM1402378,0.099013957,1.652494624
GSM1402379,0.000457027,3.526388283
GSM1402380,0.73522516,0.338357376
GSM1402381,0.036376392,-2.0979097
GSM1402382,0.000589485,3.456856409
GSM1402383,0.262458778,-1.121767902
GSM1402384,0.011713455,2.529254565
GSM1402385,0.886441448,0.142875826
GSM1402386,0.001376275,3.216274945
GSM1402387,0.255653154,-1.137930599
GSM1402388,0.000339167,-3.6064384
GSM1402389,0.050341091,-1.961432006
GSM1402390,0.003645093,2.920097535
GSM1402391,0.037225657,-2.088433812
GSM1402392,2.32E-07,5.238569093
GSM1402393,0.017907955,2.374763212
GSM1402394,0.870878383,0.162619973
GSM1402395,0.001088957,-3.284176133
GSM1402396,0.00064336,-3.432692467
GSM1402397,8.22E-06,-4.502762373
GSM1402398,0.080133623,-1.753202328
GSM1402399,0.466423671,-0.728825694
GSM1402400,0.000463384,-3.522643946
GSM1402401,0.002145945,3.084098193
GSM1402402,0.470074167,-0.722866697
GSM1402403,0.238259862,-1.180651872
GSM1402404,0.061798008,1.871624184
GSM1402405,0.000967158,3.318131224
GSM1402406,4.99E-05,-4.089251301
GSM1402407,9.62E-12,-6.964169501
GSM1402408,0.215787962,-1.239256238
GSM1402409,0.029906384,2.177076739
GSM1402410,0.055448873,-1.919483132
GSM1402411,0.674673606,0.419970685
GSM1402412,0.017162775,2.390579925
GSM1402413,0.003694799,-2.915806648
GSM1402414,0.528825451,-0.630206693
GSM1402415,0.532110962,0.625188496
GSM1402416,1.67E-07,-5.302566916
GSM1402417,0.94459537,-0.069527581
GSM1402418,0.684153869,-0.407020565
GSM1402419,0.0104447,-2.569720798
GSM1402420,0.010901422,2.554673154
GSM1402421,0.021576446,-2.304428867
GSM1402422,0.000982785,3.313559802
GSM1402423,0.002453126,3.043368681
GSM1402424,0.807957117,0.243181315
GSM1402425,0.414277025,-0.817019318
GSM1402426,1.73E-06,-4.835579859
GSM1402427,0.000181612,3.769440365
GSM1402428,0.789068869,0.267652443
GSM1402429,0.735878164,0.337490382
GSM1402430,0.097969416,-1.657642192
GSM1402431,0.348556586,-0.938207224
GSM1402432,1.15E-06,4.919615006
GSM1402433,0.030919964,-2.163757501
GSM1402434,6.02E-06,-4.571097317
GSM1402435,0.749968233,0.318843525
