Variable,p-value,T-score
GSM1402321,0.098285197,-1.658453609
GSM1402322,0.205254881,1.269514347
GSM1402323,0.052289061,1.948590298
GSM1402324,0.055514449,1.922404398
GSM1402325,0.176380678,1.355220187
GSM1402326,0.019906508,2.34079498
GSM1402327,2.25E-08,5.74788287
GSM1402328,1.68E-11,-7.003979987
GSM1402329,0.226023995,1.213191146
GSM1402330,0.320030924,-0.996067472
GSM1402331,0.138125966,-1.486822968
GSM1402332,0.013393912,-2.488069586
GSM1402333,0.634500342,0.475894836
GSM1402334,0.011443166,2.544754793
GSM1402335,0.040206173,-2.060689743
GSM1402336,0.500067443,-0.675213166
GSM1402337,0.001163403,3.279661705
GSM1402338,0.904053456,-0.120645783
GSM1402339,0.748929599,-0.320349273
GSM1402340,0.270967172,-1.102898379
GSM1402341,0.008084096,-2.666579993
GSM1402342,0.014197051,2.466846464
GSM1402343,0.315183295,-1.00611232
GSM1402344,0.426040187,-0.79708565
GSM1402345,0.071246867,1.810405315
GSM1402346,0.764202674,-0.300242852
GSM1402347,0.547369079,0.602400034
GSM1402348,0.045115027,-2.012101044
GSM1402349,0.371564688,-0.894905561
GSM1402350,0.480640785,-0.7061653
GSM1402351,0.087365556,1.715142984
GSM1402352,0.398094359,-0.846254571
GSM1402353,0.295816294,-1.047298613
GSM1402354,0.554805345,0.591248223
GSM1402355,0.109319977,1.606091847
GSM1402356,0.748616798,0.320762398
GSM1402357,0.409564134,0.825832665
GSM1402358,0.067227099,1.836900473
GSM1402359,5.96E-05,4.073015201
GSM1402360,0.677917865,0.415717616
GSM1402361,0.027822678,2.210677877
GSM1402362,0.359081738,-0.918544511
GSM1402363,0.409540821,0.825873822
GSM1402364,0.526526096,-0.634068063
GSM1402365,0.485582879,0.698227838
GSM1402366,0.000446531,3.550857882
GSM1402367,0.031403144,2.1622078
GSM1402368,9.05E-06,4.517580508
GSM1402369,0.949528234,0.063352923
GSM1402370,0.315617153,1.005209183
GSM1402371,0.521394726,0.641961953
GSM1402372,0.002809944,-3.013043803
GSM1402373,0.22809597,-1.207780129
GSM1402374,0.005606274,-2.790391346
GSM1402375,0.063324333,-1.86390953
GSM1402376,0.01078096,-2.565969895
GSM1402377,0.281112949,-1.079794043
GSM1402378,0.931575936,-0.085935316
GSM1402379,0.000137422,3.863386414
GSM1402380,2.41E-05,4.291364994
GSM1402381,0.822515551,0.224509785
GSM1402382,0.000756317,3.403760682
GSM1402383,0.37734661,-0.884124419
GSM1402384,0.180008272,1.343905093
GSM1402385,0.128804823,-1.523085917
GSM1402386,0.01024092,2.584151388
GSM1402387,0.196985357,1.293098343
GSM1402388,0.002429209,-3.058333397
GSM1402389,0.023729305,-2.273220706
GSM1402390,0.331571139,0.972549874
GSM1402391,0.927332073,0.09127972
GSM1402392,0.000494649,3.522676005
GSM1402393,0.00071578,3.419374962
GSM1402394,0.006806442,2.725318451
GSM1402395,0.396345057,0.849400269
GSM1402396,0.01153898,-2.541776447
GSM1402397,7.29E-05,-4.023558976
GSM1402398,0.676406756,0.417785631
GSM1402399,0.176496703,1.354855602
GSM1402400,0.033855081,-2.13169807
GSM1402401,0.091822829,1.691348215
GSM1402402,0.364965423,-0.90733938
GSM1402403,0.417521332,-0.811865285
GSM1402404,0.088553901,1.708704739
GSM1402405,0.233975987,1.192613345
GSM1402406,0.03030316,-2.176567102
GSM1402407,8.18E-05,-3.994715353
GSM1402408,0.354050579,-0.928218386
GSM1402409,0.001325733,3.241275507
GSM1402410,0.755809716,0.311276268
GSM1402411,0.678003316,0.415600727
GSM1402412,0.157668091,1.41654307
GSM1402413,0.574590302,-0.561928026
GSM1402414,0.684377721,-0.406896981
GSM1402415,0.173380855,-1.364709588
GSM1402416,0.00249276,-3.050339262
GSM1402417,0.264847861,-1.11712256
GSM1402418,0.204027284,1.272970815
GSM1402419,0.181688028,-1.338723291
GSM1402420,0.767336853,0.296132102
GSM1402421,0.203386131,-1.274782121
GSM1402422,0.079234025,1.761217649
GSM1402423,0.138103197,1.486909199
GSM1402424,0.601512955,0.522787881
GSM1402425,0.487780637,0.694712171
GSM1402426,2.52E-06,-4.800127112
GSM1402427,3.15E-06,4.752045909
GSM1402428,0.842322834,-0.199097927
GSM1402429,0.101242544,1.643977291
GSM1402430,0.089354628,-1.70440591
GSM1402431,0.982565066,0.021871663
GSM1402432,4.60E-06,4.668909469
GSM1402433,0.612583197,0.506927382
GSM1402434,6.00E-08,-5.560780448
GSM1402435,0.476798472,-0.712367327
